 热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
914.999817,300.002289,3612.548340,3615.286621,306.852509,306.851410,283.405212,283.398712,5.843100,5.829500,10.472900,10.479300,246.560303,246.003693,246.559799,246.001602,212.815598,212.814407,18.000000,18.000000,244.375397,243.806198,273.902313,273.751099,15.266200,5.402400,129.529999,357.880096,337.488098
914.999207,300.014099,3612.530029,3615.331055,306.853088,306.851593,283.405396,283.398987,5.842700,5.829300,10.472700,10.479300,246.559097,245.997604,246.564606,245.998993,212.815598,212.814407,18.000000,18.000000,244.322403,243.758804,273.896790,273.747986,15.266200,5.402500,129.381195,357.844513,337.487915
915.006775,299.999786,3612.530518,3615.206787,306.853210,306.851593,283.405304,283.398987,5.842600,5.828900,10.472800,10.479200,246.579407,246.017700,246.576508,246.019897,212.815704,212.814499,18.000000,18.000000,244.201401,243.632599,273.897705,273.745087,15.266000,5.402400,129.288193,357.877899,337.488007
914.996826,300.005096,3612.544922,3615.289795,306.852509,306.851593,283.405304,283.398895,5.842800,5.829400,10.472700,10.479300,246.563904,246.006699,246.564896,246.003204,212.815598,212.814407,18.000000,18.000000,244.362000,243.795700,273.898712,273.750305,15.266200,5.402400,129.355392,357.874908,337.488403
914.997009,300.006989,3612.541992,3615.358154,306.853790,306.851593,283.405304,283.398895,5.842400,5.829500,10.472700,10.479300,246.581604,245.993500,246.584198,245.991394,212.815506,212.814301,18.000000,18.000000,244.299194,243.755798,273.895813,273.751892,15.266300,5.402400,129.196594,357.847412,337.488190
914.997314,300.003387,3612.529297,3615.263916,306.852814,306.851593,283.405212,283.398895,5.842900,5.829100,10.472800,10.479200,246.572800,245.994797,246.567902,246.001495,212.815598,212.814407,18.000000,18.000000,244.322800,243.761902,273.900208,273.746490,15.266100,5.402400,129.057907,357.869202,337.487915
914.999023,300.009796,3612.540527,3615.263184,306.852814,306.851593,283.405212,283.398895,5.843100,5.829000,10.472900,10.479200,246.555099,246.024002,246.553207,246.023300,212.815506,212.814301,18.000000,18.000000,244.309906,243.720703,273.902405,273.746490,15.266200,5.402300,129.129395,357.883911,337.488312
914.997681,300.000305,3612.545898,3615.388184,306.853485,306.851715,283.405487,283.398987,5.843200,5.829400,10.472900,10.479300,246.551895,246.010406,246.551102,246.008194,212.815704,212.814499,18.000000,18.000000,244.374100,243.793594,273.903992,273.750214,15.266300,5.402400,129.010696,357.853394,337.488403
914.997009,300.015106,3612.528564,3615.375488,306.853790,306.851715,283.405396,283.398895,5.843300,5.829500,10.472800,10.479300,246.548706,246.003799,246.548599,246.002899,212.815704,212.814499,18.000000,18.000000,244.369705,243.793304,273.902313,273.751587,15.266300,5.402400,128.847595,357.843903,337.487793
914.998108,300.004089,3612.533691,3615.264648,306.852814,306.851593,283.405304,283.398895,5.842200,5.829200,10.472600,10.479200,246.572800,245.994400,246.582001,245.996399,212.815796,212.814697,18.000000,18.000000,244.200897,243.651199,273.893402,273.745697,15.266000,5.402400,128.800400,357.883514,337.488312
914.995728,300.006012,3612.540771,3615.340576,306.852692,306.851593,283.405304,283.398804,5.843000,5.829000,10.472700,10.479100,246.570999,246.019196,246.563293,246.020401,212.815796,212.814606,18.000000,18.000000,244.295700,243.716995,273.901306,273.747803,15.266200,5.402400,128.883408,357.859985,337.488800
915.000427,300.002106,3612.527344,3615.290283,306.852997,306.851501,283.405212,283.398712,5.843100,5.829500,10.472700,10.479200,246.557693,246.006897,246.557098,246.003998,212.815704,212.814499,18.000000,18.000000,244.379898,243.807404,273.902496,273.751007,15.266100,5.402400,128.673096,357.860596,337.488403
914.999573,300.011108,3612.545410,3615.212158,306.852814,306.851410,283.404999,283.398712,5.843200,5.829000,10.472800,10.479100,246.553604,246.005295,246.550705,246.012497,212.815598,212.814407,18.000000,18.000000,244.325104,243.738098,273.903595,273.743713,15.266000,5.402400,128.644501,357.889893,337.489197
914.999329,300.005310,3612.546631,3615.357178,306.853210,306.851593,283.405212,283.398895,5.843100,5.829100,10.472700,10.479200,246.543396,246.027496,246.546005,246.023102,212.815704,212.814499,18.000000,18.000000,244.307602,243.716202,273.900299,273.748108,15.266200,5.402400,128.673096,357.859009,337.489410
914.998718,300.005096,3612.530762,3615.341309,306.854309,306.851593,283.405304,283.398895,5.842300,5.829100,10.472500,10.479100,246.574799,246.004898,246.581406,246.004196,212.815704,212.814499,18.000000,18.000000,244.232407,243.675903,273.895203,273.745911,15.266400,5.402400,128.474197,357.840210,337.488586
914.998474,300.004089,3612.528809,3615.212158,306.852509,306.851410,283.405090,283.398712,5.842900,5.829100,10.472600,10.479100,246.566803,246.016800,246.562302,246.015900,212.815506,212.814301,18.000000,18.000000,244.329102,243.753998,273.899902,273.748810,15.266100,5.402400,128.384094,357.877106,337.488892
915.000977,300.002686,3612.543945,3615.262695,306.852692,306.851410,283.404907,283.398712,5.842400,5.829500,10.472500,10.479200,246.572296,246.001495,246.578796,245.997192,212.815506,212.814301,18.000000,18.000000,244.298004,243.748505,273.894806,273.750885,15.266000,5.402300,128.435593,357.892609,337.488800
915.001404,300.008698,3612.552490,3615.317139,306.852509,306.851410,283.404999,283.398804,5.842900,5.829500,10.472700,10.479200,246.575607,245.992401,246.570206,245.994202,212.815506,212.814301,18.000000,18.000000,244.355698,243.798203,273.900787,273.748901,15.266300,5.402400,128.411301,357.873993,337.489105
915.002930,300.002808,3612.533447,3615.324951,306.852997,306.851410,283.405090,283.398987,5.843100,5.828800,10.472800,10.479100,246.556503,246.017593,246.552994,246.024307,212.815598,212.814407,18.000000,18.000000,244.291397,243.700104,273.902313,273.744202,15.266300,5.402400,128.275406,357.847595,337.489014
915.001526,300.009399,3612.538086,3615.249512,306.852386,306.851410,283.404999,283.398804,5.842600,5.829300,10.472600,10.479200,246.557907,246.013504,246.566299,246.007004,212.815598,212.814407,18.000000,18.000000,244.296295,243.731003,273.894714,273.748688,15.266000,5.402400,128.153793,357.885315,337.489105
915.000916,299.999908,3612.550049,3615.358887,306.852814,306.851410,283.405212,283.398895,5.842700,5.828900,10.472600,10.479100,246.580505,246.007507,246.575302,246.013107,212.815598,212.814407,18.000000,18.000000,244.267303,243.698898,273.899200,273.744690,15.266300,5.402400,128.199600,357.864014,337.489288
915.002075,300.006714,3612.523926,3615.268311,306.853210,306.851410,283.405212,283.398895,5.843000,5.829400,10.472700,10.479200,246.563095,246.011200,246.561493,246.007095,212.815506,212.814301,18.000000,18.000000,244.373001,243.801498,273.901398,273.750000,15.266200,5.402400,128.017899,357.851593,337.489105
