热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.029419,299.998596,3612.514893,3615.286621,306.853485,306.851196,283.404602,283.398407,5.842900,5.828800,10.473600,10.480000,246.558502,246.018204,246.557404,246.024200,212.815308,212.814102,18.000000,18.000000,244.306793,243.720596,273.898499,273.743896,15.264600,5.402700,136.329193,357.840790,337.475800
915.026123,299.982605,3612.533203,3615.205078,306.852203,306.851105,283.404694,283.398285,5.842600,5.829300,10.473600,10.480100,246.584793,246.008301,246.583405,246.005402,212.815399,212.814194,18.000000,18.000000,244.268005,243.712296,273.896515,273.749298,15.264700,5.402600,136.499405,357.874603,337.476898
915.024170,300.001587,3612.543945,3615.349854,306.853302,306.851410,283.404999,283.398590,5.842700,5.829500,10.473600,10.480200,246.570206,246.003204,246.571198,246.001602,212.815308,212.814102,18.000000,18.000000,244.367401,243.806900,273.898804,273.750885,15.264800,5.402600,136.390701,357.845215,337.477386
915.025330,299.983612,3612.521240,3615.340820,306.853912,306.851501,283.404907,283.398590,5.842500,5.829600,10.473600,10.480300,246.586304,245.993500,246.588196,245.991302,212.815506,212.814301,18.000000,18.000000,244.287994,243.746796,273.895111,273.752502,15.264600,5.402600,136.294800,357.824707,337.476715
915.028076,300.003296,3612.512207,3615.204590,306.853088,306.851410,283.404694,283.398499,5.842800,5.829300,10.473700,10.480100,246.577606,245.991196,246.573395,245.997894,212.815506,212.814301,18.000000,18.000000,244.348099,243.798294,273.899506,273.749390,15.264500,5.402600,136.356400,357.852112,337.476288
915.014771,299.986908,3612.529297,3615.208496,306.852509,306.851410,283.404602,283.398407,5.843000,5.828900,10.473800,10.480000,246.559402,246.028900,246.557404,246.028900,212.815598,212.814407,18.000000,18.000000,244.269608,243.680603,273.901398,273.744385,15.264700,5.402600,136.384995,357.880402,337.476715
915.010925,299.997498,3612.542480,3615.302734,306.852814,306.851593,283.404694,283.398499,5.842300,5.829200,10.473600,10.480100,246.578598,246.003799,246.584396,246.002899,212.815598,212.814407,18.000000,18.000000,244.289902,243.734299,273.894104,273.748505,15.264900,5.402600,136.342102,357.867615,337.477203
915.015991,299.989105,3612.528564,3615.336182,306.853912,306.851715,283.404785,283.398590,5.842900,5.829000,10.473700,10.480000,246.571198,246.022903,246.566605,246.024002,212.815506,212.814301,18.000000,18.000000,244.283798,243.707199,273.899902,273.744812,15.264700,5.402600,136.196198,357.832397,337.477112
915.018616,299.990692,3612.519287,3615.240723,306.853088,306.851501,283.404785,283.398499,5.842900,5.829300,10.473700,10.480100,246.563293,246.010193,246.563995,246.009094,212.815399,212.814194,18.000000,18.000000,244.367905,243.795303,273.900391,273.748901,15.264600,5.402600,136.218994,357.852692,337.476990
915.015686,299.998413,3612.533447,3615.269043,306.852692,306.851410,283.404907,283.398590,5.842400,5.828900,10.473600,10.480000,246.576202,246.016693,246.579498,246.018295,212.815399,212.814194,18.000000,18.000000,244.247803,243.680496,273.894806,273.744598,15.264900,5.402600,136.306305,357.873993,337.477295
