热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.017273,300.027313,3612.523438,3615.296631,306.853088,306.851105,283.404297,283.398102,5.843100,5.828700,10.474100,10.480300,246.558899,246.017303,246.555298,246.026901,212.815598,212.814407,18.000000,18.000000,244.300095,243.715805,273.902496,273.742615,15.263700,5.402800,136.550903,357.821686,337.469910
915.018188,299.994507,3612.522949,3615.251221,306.852295,306.851105,283.404388,283.398010,5.842800,5.829400,10.474000,10.480400,246.555206,246.022003,246.561493,246.014206,212.815796,212.814606,18.000000,18.000000,244.311203,243.727203,273.899994,273.749603,15.263700,5.402700,136.651001,357.852203,337.470001
915.018921,300.011200,3612.538086,3615.305908,306.852692,306.851105,283.404388,283.397888,5.842500,5.828900,10.473800,10.480300,246.584793,246.008408,246.584198,246.013306,212.815506,212.814301,18.000000,18.000000,244.237701,243.678497,273.896393,273.744690,15.264000,5.402700,136.751205,357.847595,337.470612
915.021179,300.005310,3612.519775,3615.308594,306.852692,306.851105,283.404388,283.397888,5.842800,5.829200,10.473900,10.480300,246.568100,246.019302,246.567703,246.015594,212.815506,212.814301,18.000000,18.000000,244.327606,243.754501,273.899109,273.748505,15.263800,5.402800,136.633896,357.821198,337.470215
915.019775,299.995087,3612.511475,3615.200684,306.853485,306.851013,283.404205,283.397888,5.842400,5.829400,10.473800,10.480400,246.581696,246.003998,246.585907,246.001205,212.815399,212.814194,18.000000,18.000000,244.290802,243.740799,273.895203,273.750000,15.263600,5.402700,136.595306,357.848389,337.470001
915.021973,300.020813,3612.532959,3615.225342,306.851990,306.850891,283.404205,283.397888,5.842800,5.828900,10.473900,10.480300,246.575302,246.011002,246.570801,246.017395,212.815308,212.814102,18.000000,18.000000,244.310898,243.740601,273.899506,273.744385,15.263800,5.402700,136.733994,357.867493,337.470398
915.022522,299.982513,3612.541260,3615.256104,306.852203,306.850891,283.404205,283.398010,5.843000,5.829200,10.474000,10.480400,246.564102,246.020493,246.563599,246.016693,212.815506,212.814301,18.000000,18.000000,244.328400,243.750504,273.901093,273.748505,15.264100,5.402700,136.802704,357.863800,337.470886
915.023804,300.029205,3612.539063,3615.362061,306.852814,306.851105,283.404510,283.398193,5.843100,5.829400,10.474000,10.480500,246.561600,246.009705,246.560593,246.008301,212.815308,212.814102,18.000000,18.000000,244.386993,243.813507,273.902405,273.750214,15.263900,5.402700,136.672501,357.830414,337.471313
915.026489,299.985107,3612.519287,3615.365234,306.853302,306.851013,283.404510,283.398285,5.842400,5.829600,10.473900,10.480600,246.569702,246.001694,246.578705,245.997803,212.815704,212.814499,18.000000,18.000000,244.278900,243.726196,273.894409,273.752014,15.263800,5.402700,136.615295,357.822296,337.470398
915.025574,300.027588,3612.519531,3615.229736,306.852692,306.851013,283.404510,283.398285,5.842800,5.829600,10.474000,10.480500,246.589203,245.991302,246.583694,245.992493,212.815506,212.814407,18.000000,18.000000,244.323395,243.780502,273.899109,273.751587,15.263700,5.402700,136.698303,357.854095,337.470490
915.034119,299.989594,3612.534180,3615.304688,306.852386,306.851105,283.404510,283.398285,5.842600,5.828700,10.473900,10.480300,246.570007,246.016098,246.571198,246.023407,212.815796,212.814606,18.000000,18.000000,244.230103,243.655899,273.896088,273.742798,15.264000,5.402700,136.811295,357.853485,337.471100
915.020020,300.014893,3612.522705,3615.305420,306.853088,306.851196,283.404510,283.398193,5.842700,5.829400,10.473900,10.480400,246.580597,246.015305,246.578903,246.009705,212.815506,212.814301,18.000000,18.000000,244.313400,243.751801,273.898499,273.749695,15.263900,5.402700,136.683899,357.823486,337.471191
915.015930,299.998199,3612.521484,3615.183594,306.852295,306.851288,283.404297,283.398010,5.842900,5.829500,10.474000,10.480400,246.571304,246.002396,246.569702,246.001205,212.815598,212.814407,18.000000,18.000000,244.367706,243.807098,273.900604,273.751587,15.263800,5.402700,136.751205,357.857086,337.471313
915.022278,300.008301,3612.537354,3615.313477,306.852509,306.851288,283.404510,283.398102,5.843000,5.829700,10.474000,10.480500,246.566498,245.997894,246.566101,245.996307,212.815399,212.814301,18.000000,18.000000,244.371796,243.811600,273.902100,273.752686,15.264100,5.402700,136.802704,357.853210,337.471497
915.013977,300.016205,3612.517822,3615.295654,306.853485,306.851288,283.404510,283.398285,5.842600,5.828700,10.473900,10.480200,246.561493,246.014603,246.565201,246.023605,212.815598,212.814407,18.000000,18.000000,244.235992,243.656601,273.896301,273.741913,15.264000,5.402700,136.716797,357.823212,337.471588
915.009216,299.990387,3612.517822,3615.240967,306.853088,306.851196,283.404510,283.398285,5.842700,5.829400,10.473900,10.480400,246.582993,246.018799,246.581207,246.011597,212.815598,212.814407,18.000000,18.000000,244.261597,243.699905,273.898590,273.749908,15.263800,5.402700,136.705399,357.856689,337.471100
915.017883,299.997803,3612.542725,3615.322021,306.852112,306.851013,283.404388,283.398102,5.843000,5.829500,10.473900,10.480300,246.568298,246.002899,246.565598,246.002594,212.815399,212.814301,18.000000,18.000000,244.393204,243.828293,273.901703,273.750305,15.264100,5.402700,136.841293,357.856110,337.472107
915.021729,299.987610,3612.521973,3615.316650,306.852997,306.851105,283.404510,283.398285,5.842400,5.828800,10.473800,10.480200,246.568298,246.016006,246.574005,246.020493,212.815506,212.814301,18.000000,18.000000,244.228195,243.656494,273.894592,273.743591,15.264200,5.402700,136.746902,357.823395,337.472412
915.022278,299.999603,3612.516846,3615.191650,306.852203,306.851105,283.404388,283.398102,5.842800,5.829400,10.473900,10.480300,246.580704,246.012802,246.576004,246.009094,212.815308,212.814102,18.000000,18.000000,244.326096,243.763794,273.899689,273.749786,15.263900,5.402700,136.742599,357.855591,337.472412
915.021729,299.980408,3612.534912,3615.281738,306.852386,306.851013,283.404388,283.398102,5.843000,5.829500,10.473900,10.480400,246.567993,246.003601,246.567001,246.002197,212.815399,212.814301,18.000000,18.000000,244.364807,243.801193,273.901306,273.751587,15.264100,5.402700,136.815598,357.854614,337.472687
915.020386,300.010895,3612.530273,3615.346436,306.853088,306.851288,283.404694,283.398407,5.842600,5.829700,10.473800,10.480500,246.568497,245.997498,246.574493,245.994202,212.815399,212.814194,18.000000,18.000000,244.338593,243.786407,273.896301,273.753387,15.264200,5.402700,136.732605,357.832001,337.472900
915.019287,299.979492,3612.521484,3615.295654,306.853485,306.851196,283.404602,283.398407,5.842600,5.828800,10.473900,10.480200,246.588104,246.000198,246.582703,246.012299,212.815598,212.814499,18.000000,18.000000,244.215195,243.658005,273.897400,273.742706,15.264100,5.402700,136.628098,357.834503,337.472198
