热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.021423,300.015411,3612.534912,3615.318115,306.852905,306.851196,283.404388,283.398407,5.843000,5.829400,10.473900,10.480300,246.564697,246.012695,246.563705,246.009003,212.815506,212.814301,18.000000,18.000000,244.374207,243.800705,273.901611,273.750092,15.264300,5.402700,136.672501,357.833496,337.472900
915.023682,299.995209,3612.522949,3615.336670,306.854004,306.851288,283.404510,283.398285,5.842500,5.829600,10.473800,10.480400,246.569199,246.000107,246.576599,245.996704,212.815598,212.814407,18.000000,18.000000,244.330399,243.773102,273.896393,273.752014,15.264100,5.402700,136.661102,357.817413,337.472809
915.024475,300.019012,3612.517578,3615.197021,306.852692,306.851105,283.404510,283.398193,5.842700,5.829200,10.473900,10.480300,246.589005,245.991898,246.582993,245.998795,212.815506,212.814301,18.000000,18.000000,244.292801,243.744904,273.898499,273.747192,15.264100,5.402700,136.769806,357.856903,337.472687
915.021423,299.994598,3612.532471,3615.238281,306.852692,306.851105,283.404388,283.398102,5.842900,5.829000,10.473900,10.480200,246.564194,246.026596,246.562500,246.026306,212.815598,212.814407,18.000000,18.000000,244.278702,243.694794,273.900787,273.746399,15.264200,5.402600,136.824097,357.875702,337.472900
915.021973,300.011688,3612.537109,3615.389404,306.852692,306.851196,283.404510,283.398285,5.843200,5.829500,10.473900,10.480300,246.559692,246.009903,246.558701,246.007202,212.815506,212.814301,18.000000,18.000000,244.391998,243.817398,273.903107,273.751007,15.264400,5.402700,136.756897,357.835602,337.473114
915.020508,300.005798,3612.516602,3615.217529,306.852692,306.851196,283.404510,283.398193,5.843200,5.829400,10.474000,10.480300,246.556198,246.003296,246.554199,246.005707,212.815598,212.814407,18.000000,18.000000,244.365707,243.789993,273.903107,273.748901,15.264100,5.402600,136.678207,357.845795,337.473297
915.019714,300.009796,3612.534668,3615.274658,306.852295,306.851196,283.404602,283.398285,5.842200,5.828800,10.473700,10.480200,246.574493,246.020203,246.583496,246.021103,212.815704,212.814499,18.000000,18.000000,244.164703,243.598404,273.892487,273.744507,15.264300,5.402600,136.785507,357.871796,337.473694
915.021179,300.003815,3612.535645,3615.358887,306.852814,306.851288,283.404785,283.398285,5.843000,5.829400,10.473800,10.480300,246.578201,246.008606,246.571503,246.006607,212.815598,212.814407,18.000000,18.000000,244.347702,243.784897,273.900909,273.750305,15.264400,5.402700,136.689697,357.838898,337.473694
915.025330,300.000214,3612.524170,3615.367188,306.853485,306.851410,283.404602,283.398285,5.842400,5.829200,10.473600,10.480200,246.574600,246.001007,246.580399,246.002304,212.815506,212.814301,18.000000,18.000000,244.295395,243.740997,273.894501,273.747711,15.264200,5.402700,136.619598,357.826508,337.473206
915.019470,300.015503,3612.525879,3615.247803,306.852509,306.851288,283.404388,283.398193,5.842800,5.829000,10.473800,10.480200,246.578796,246.018997,246.573395,246.020706,212.815308,212.814102,18.000000,18.000000,244.276993,243.706207,273.899200,273.746307,15.264100,5.402700,136.731094,357.860504,337.473785
915.017212,299.988800,3612.536377,3615.308594,306.852600,306.851288,283.404510,283.398285,5.843000,5.829400,10.473800,10.480200,246.567596,246.010498,246.566803,246.008301,212.815399,212.814194,18.000000,18.000000,244.353500,243.784302,273.901215,273.749695,15.264400,5.402700,136.778397,357.846985,337.474487
915.017029,300.022888,3612.525146,3615.353516,306.853088,306.851410,283.404602,283.398407,5.843100,5.829500,10.473900,10.480300,246.561005,246.004898,246.559998,246.003906,212.815308,212.814102,18.000000,18.000000,244.389297,243.819000,273.902893,273.751495,15.264300,5.402700,136.599503,357.830902,337.473785
915.017090,299.993286,3612.509033,3615.237549,306.852997,306.851288,283.404694,283.398407,5.842900,5.829000,10.473800,10.480200,246.556305,246.008102,246.558395,246.014099,212.815598,212.814407,18.000000,18.000000,244.294006,243.715805,273.898895,273.744904,15.264300,5.402600,136.638199,357.851105,337.473602
915.010925,300.020813,3612.531494,3615.240723,306.852509,306.851196,283.404602,283.398285,5.842400,5.829200,10.473700,10.480300,246.582794,246.020004,246.585403,246.014801,212.815506,212.814301,18.000000,18.000000,244.222000,243.660995,273.895996,273.748413,15.264300,5.402600,136.698303,357.873413,337.474091
915.023682,299.972900,3612.535400,3615.324463,306.852692,306.851288,283.404694,283.398285,5.842900,5.829200,10.473700,10.480200,246.569107,246.007095,246.566498,246.009598,212.815598,212.814407,18.000000,18.000000,244.344299,243.775604,273.899689,273.747101,15.264600,5.402600,136.732605,357.839294,337.474701
915.026184,300.011108,3612.520508,3615.285156,306.852814,306.851196,283.404510,283.398285,5.842400,5.829000,10.473700,10.480200,246.577194,246.019608,246.581604,246.017899,212.815308,212.814102,18.000000,18.000000,244.250702,243.685394,273.894989,273.746613,15.264400,5.402700,136.572403,357.842499,337.474609
915.024170,299.972900,3612.539063,3615.316895,306.852295,306.851288,283.404602,283.398285,5.842900,5.829400,10.473800,10.480200,246.573593,246.008102,246.570801,246.005997,212.815399,212.814194,18.000000,18.000000,244.355499,243.792099,273.900299,273.750305,15.264400,5.402600,136.655304,357.862915,337.475189
915.019592,300.007996,3612.529297,3615.319092,306.853088,306.851288,283.404694,283.398407,5.843100,5.829500,10.473900,10.480300,246.564102,246.002396,246.563004,246.001404,212.815399,212.814194,18.000000,18.000000,244.384094,243.818100,273.902313,273.751892,15.264600,5.402700,136.588104,357.828705,337.475098
915.020813,299.990112,3612.514893,3615.245850,306.853485,306.851410,283.404694,283.398499,5.843200,5.828900,10.473900,10.480100,246.557602,246.007294,246.553802,246.016800,212.815598,212.814407,18.000000,18.000000,244.328400,243.745102,273.903412,273.743805,15.264400,5.402600,136.510895,357.849915,337.474792
915.021118,299.994690,3612.529541,3615.195068,306.852203,306.851196,283.404694,283.398407,5.843000,5.829100,10.473800,10.480200,246.546295,246.032501,246.550995,246.026901,212.815704,212.814499,18.000000,18.000000,244.291107,243.696198,273.899994,273.747406,15.264500,5.402600,136.612396,357.873810,337.475708
915.020081,299.998688,3612.530518,3615.318604,306.852814,306.851288,283.404694,283.398407,5.842300,5.829400,10.473600,10.480300,246.585907,246.004196,246.590302,246.001007,212.815598,212.814407,18.000000,18.000000,244.258194,243.710800,273.894501,273.749908,15.264700,5.402600,136.595306,357.839691,337.475891
915.020508,299.980286,3612.513672,3615.274414,306.853790,306.851501,283.404694,283.398407,5.842900,5.829600,10.473700,10.480300,246.574600,246.001297,246.570999,245.999802,212.815704,212.814499,18.000000,18.000000,244.348495,243.791000,273.900604,273.752014,15.264500,5.402700,136.506607,357.826996,337.475189
