热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.018921,300.028900,3612.517578,3615.255371,306.852814,306.851013,283.404297,283.397888,5.842700,5.828900,10.473900,10.480300,246.584198,246.013306,246.578705,246.018600,212.815399,212.814301,18.000000,18.000000,244.277893,243.708603,273.899597,273.745392,15.263700,5.402700,136.572403,357.843109,337.470215
915.021179,299.979187,3612.532471,3615.228027,306.851807,306.850800,283.404205,283.397797,5.842700,5.829300,10.473800,10.480400,246.567703,246.015594,246.570404,246.011795,212.815598,212.814407,18.000000,18.000000,244.310501,243.744705,273.896515,273.749298,15.263700,5.402700,136.685394,357.868713,337.470306
915.019775,300.026306,3612.539551,3615.304932,306.852386,306.851013,283.404205,283.397797,5.842500,5.829300,10.473900,10.480400,246.585907,246.001205,246.585602,246.001404,212.815308,212.814102,18.000000,18.000000,244.313507,243.761902,273.897705,273.748291,15.264000,5.402700,136.768402,357.847107,337.470703
915.021973,299.988312,3612.534912,3615.377197,306.853699,306.851105,283.404388,283.398193,5.842900,5.828900,10.474000,10.480300,246.570801,246.017395,246.567200,246.022095,212.815399,212.814194,18.000000,18.000000,244.293503,243.714905,273.900085,273.745300,15.264000,5.402700,136.691101,357.820099,337.470795
915.023804,300.012909,3612.513184,3615.254150,306.853088,306.851013,283.404388,283.398102,5.843000,5.829300,10.474000,10.480400,246.563095,246.013794,246.562500,246.011505,212.815308,212.814102,18.000000,18.000000,244.363098,243.787598,273.901611,273.749298,15.263600,5.402700,136.678207,357.832306,337.470215
915.026489,300.006409,3612.518311,3615.196533,306.852814,306.851013,283.404388,283.398102,5.842900,5.829500,10.474000,10.480500,246.560501,246.007004,246.563202,246.004898,212.815598,212.814407,18.000000,18.000000,244.365402,243.794495,273.900787,273.750885,15.263800,5.402700,136.805496,357.863495,337.470215
915.025574,300.001587,3612.530273,3615.251221,306.852203,306.851013,283.404510,283.398193,5.842400,5.829600,10.473900,10.480600,246.587006,245.994095,246.591003,245.992004,212.815598,212.814407,18.000000,18.000000,244.258408,243.717499,273.894104,273.752289,15.264000,5.402700,136.809799,357.859100,337.471191
915.034119,300.018097,3612.530762,3615.306396,306.852692,306.851105,283.404510,283.398285,5.842800,5.829100,10.474000,10.480400,246.577103,245.997406,246.572205,246.006195,212.815704,212.814499,18.000000,18.000000,244.328506,243.773102,273.899414,273.747101,15.264000,5.402700,136.686798,357.829803,337.471008
915.020020,299.989502,3612.512695,3615.272949,306.852386,306.851105,283.404388,283.398193,5.842400,5.829000,10.473900,10.480300,246.574905,246.025208,246.578995,246.021698,212.815704,212.814499,18.000000,18.000000,244.211197,243.639099,273.895111,273.745514,15.263800,5.402700,136.744003,357.839386,337.470703
915.015930,300.021301,3612.536377,3615.305176,306.852386,306.851288,283.404388,283.398102,5.842800,5.829500,10.473900,10.480400,246.575699,246.006897,246.573395,246.004395,212.815399,212.814194,18.000000,18.000000,244.361801,243.801193,273.899414,273.750610,15.264100,5.402700,136.821304,357.860504,337.471191
915.022278,299.986603,3612.523193,3615.296875,306.853302,306.851410,283.404388,283.398102,5.843000,5.829600,10.474000,10.480400,246.568604,246.000000,246.567398,245.998795,212.815598,212.814407,18.000000,18.000000,244.360794,243.800293,273.901215,273.752197,15.264000,5.402700,136.702499,357.825989,337.471313
915.013977,300.029205,3612.515137,3615.251465,306.852509,306.851288,283.404388,283.398102,5.843000,5.829200,10.474000,10.480400,246.563904,245.997803,246.561600,246.004593,212.815506,212.814301,18.000000,18.000000,244.366196,243.800705,273.902008,273.748505,15.263900,5.402700,136.744003,357.845398,337.471008
915.009216,299.991394,3612.538086,3615.275635,306.852509,306.851196,283.404510,283.398193,5.842300,5.828900,10.473800,10.480300,246.572006,246.027603,246.579193,246.025406,212.815796,212.814499,18.000000,18.000000,244.171494,243.595703,273.893799,273.743896,15.264200,5.402600,136.811295,357.870911,337.471710
915.017883,300.012909,3612.534424,3615.331055,306.852386,306.851105,283.404510,283.398285,5.842900,5.829500,10.473900,10.480400,246.575806,246.007202,246.570999,246.005005,212.815506,212.814301,18.000000,18.000000,244.352203,243.790298,273.900604,273.750702,15.264100,5.402700,136.711105,357.836914,337.471893
915.021729,300.001007,3612.518066,3615.270020,306.852509,306.851105,283.404388,283.398102,5.842800,5.829100,10.473900,10.480300,246.563995,246.005096,246.564697,246.010101,212.815506,212.814301,18.000000,18.000000,244.353394,243.784103,273.899902,273.747192,15.263900,5.402700,136.725403,357.834198,337.471893
915.022278,300.009003,3612.528564,3615.257568,306.852386,306.851105,283.404388,283.398193,5.842500,5.829100,10.473800,10.480300,246.579605,246.021301,246.582504,246.017899,212.815399,212.814194,18.000000,18.000000,244.214996,243.648407,273.894897,273.746307,15.264100,5.402600,136.858505,357.866211,337.472290
915.021729,300.002411,3612.536377,3615.364746,306.852600,306.851105,283.404510,283.398193,5.842900,5.829400,10.473900,10.480300,246.572006,246.006897,246.569504,246.005203,212.815399,212.814194,18.000000,18.000000,244.361893,243.798294,273.900391,273.750397,15.264200,5.402700,136.748306,357.836395,337.472504
915.020386,300.002106,3612.521484,3615.262695,306.852386,306.851105,283.404388,283.398193,5.843000,5.829600,10.473900,10.480400,246.565903,246.000702,246.565903,245.999100,212.815399,212.814194,18.000000,18.000000,244.369705,243.807693,273.900604,273.752289,15.264000,5.402700,136.718307,357.847107,337.472412
915.019287,300.017700,3612.522461,3615.220947,306.852509,306.851105,283.404510,283.398285,5.842300,5.829400,10.473800,10.480400,246.582199,245.990707,246.587799,245.992203,212.815506,212.814301,18.000000,18.000000,244.271606,243.729904,273.894012,273.749115,15.264100,5.402600,136.778397,357.868896,337.472107
915.015991,299.993011,3612.538086,3615.281006,306.852509,306.851196,283.404602,283.398407,5.842800,5.828800,10.473900,10.480200,246.574799,246.022903,246.568802,246.027603,212.815598,212.814407,18.000000,18.000000,244.240799,243.662399,273.899689,273.744110,15.264300,5.402600,136.811295,357.855011,337.473114
915.021423,300.015411,3612.531494,3615.323975,306.853088,306.851196,283.404388,283.398407,5.843000,5.829400,10.473900,10.480300,246.564697,246.012695,246.563705,246.009003,212.815506,212.814301,18.000000,18.000000,244.380997,243.808395,273.901886,273.750214,15.264300,5.402700,136.672501,357.828705,337.472809
915.023682,299.995209,3612.518799,3615.375977,306.854095,306.851288,283.404510,283.398285,5.842500,5.829600,10.473800,10.480400,246.569199,246.000107,246.576599,245.996704,212.815598,212.814407,18.000000,18.000000,244.313995,243.760696,273.895294,273.752106,15.264100,5.402700,136.661102,357.819489,337.472412
915.024475,300.019012,3612.517578,3615.197021,306.852692,306.851105,283.404510,283.398193,5.842700,5.829200,10.473900,10.480300,246.589005,245.991898,246.582993,245.998795,212.815506,212.814301,18.000000,18.000000,244.292801,243.744904,273.898499,273.747192,15.264100,5.402700,136.769806,357.856903,337.472687
915.021423,299.994598,3612.532471,3615.238281,306.852692,306.851105,283.404388,283.398102,5.842900,5.829000,10.473900,10.480200,246.564194,246.026596,246.562500,246.026306,212.815598,212.814407,18.000000,18.000000,244.278702,243.694794,273.900787,273.746399,15.264200,5.402600,136.824097,357.875702,337.472900
915.021973,300.011688,3612.537109,3615.389404,306.852692,306.851196,283.404510,283.398285,5.843200,5.829500,10.473900,10.480300,246.559692,246.009903,246.558701,246.007202,212.815506,212.814301,18.000000,18.000000,244.391998,243.817398,273.903107,273.751007,15.264400,5.402700,136.756897,357.835602,337.473114
915.020508,300.005798,3612.516602,3615.217529,306.852692,306.851196,283.404510,283.398193,5.843200,5.829400,10.474000,10.480300,246.556198,246.003296,246.554199,246.005707,212.815598,212.814407,18.000000,18.000000,244.365707,243.789993,273.903107,273.748901,15.264100,5.402600,136.678207,357.845795,337.473297
915.019714,300.009796,3612.534668,3615.274658,306.852295,306.851196,283.404602,283.398285,5.842200,5.828800,10.473700,10.480200,246.574493,246.020203,246.583496,246.021103,212.815704,212.814499,18.000000,18.000000,244.164703,243.598404,273.892487,273.744507,15.264300,5.402600,136.785507,357.871796,337.473694
915.021179,300.003815,3612.535645,3615.358887,306.852814,306.851288,283.404785,283.398285,5.843000,5.829400,10.473800,10.480300,246.578201,246.008606,246.571503,246.006607,212.815598,212.814407,18.000000,18.000000,244.347702,243.784897,273.900909,273.750305,15.264400,5.402700,136.689697,357.838898,337.473694
