热功率（MW）915.010925,电功率（MW）299.991913,主回路1冷却剂流量（kg/s）3612.538574,主回路2冷却剂流量（kg/s）3615.324707,主回路1热管段冷却剂温度（℃）306.852814,主回路2热管段冷却剂温度（℃）306.851501,主回路1冷管段冷却剂温度（℃）283.405212,主回路2冷管段冷却剂温度（℃）283.398712,主回路1蒸汽发生器二次侧压力（MPa）5.842700,主回路2蒸汽发生器二次侧压力（MPa）5.829300,主回路1蒸汽发生器水位（m）10.473400,主回路2蒸汽发生器水位（m）10.480000,主回路1蒸汽发生器给水流量（kg/s）246.581894,主回路2蒸汽发生器给水流量（kg/s）246.011307,与前值相同，未使用,与前值相同，未使用,主回路1蒸汽发生器给水温度（℃）212.815598,主回路2蒸汽发生器给水温度（℃）212.814499,恒定量，未使用,恒定量，未使用,主回路1蒸汽发生器蒸汽出口流量（kg/s）244.279297,主回路2蒸汽发生器蒸汽出口流量（kg/s）243.720703,主回路1蒸汽发生器蒸汽出口温度（℃）273.898285,主回路2蒸汽发生器蒸汽出口温度（℃）273.749512,稳压器压力（MPa）15.265100,稳压器水位（m）5.402600,好像是稳压器加热功率，因为变化观察不到规律，未使用,稳压器蒸汽空间温度（℃）357.856293,稳压器水空间温度（℃）337.480011
915.022400,299.995911,3612.595947,3615.322021,306.846008,306.844513,283.397308,283.391205,5.841600,5.828000,10.469200,10.476000,246.581497,246.037994,246.585602,246.037506,212.816696,212.815506,18.000000,18.000000,244.259506,243.681702,273.885895,273.734009,15.264500,5.400300,140.112900,357.862488,337.509613
915.023193,299.986786,3612.610596,3615.395508,306.846100,306.844513,283.397400,283.391205,5.841900,5.828400,10.469300,10.476200,246.589996,246.022202,246.586807,246.020493,212.816696,212.815506,18.000000,18.000000,244.333405,243.770798,273.888885,273.739197,15.264700,5.400300,140.067093,357.847687,337.510193
915.025024,299.998199,3612.590820,3615.397217,306.846100,306.844513,283.397614,283.391388,5.842100,5.828500,10.469400,10.476200,246.579605,246.017395,246.578400,246.016693,212.816696,212.815506,18.000000,18.000000,244.383698,243.817902,273.890991,273.740509,15.264400,5.400400,139.968399,357.819885,337.510315
915.024292,299.992310,3612.578369,3615.312500,306.847198,306.844604,283.397614,283.391388,5.842300,5.828400,10.469500,10.476200,246.573196,246.014297,246.570801,246.017700,212.816895,212.815704,18.000000,18.000000,244.378006,243.807800,273.893097,273.739502,15.264200,5.400400,139.962708,357.830902,337.509888
915.023926,300.001892,3612.591309,3615.299561,306.845490,306.844513,283.397614,283.391388,5.841700,5.827900,10.469300,10.476100,246.568604,246.040894,246.575897,246.042206,212.817001,212.815796,18.000000,18.000000,244.251495,243.661896,273.887085,273.732697,15.264500,5.400300,140.045700,357.864807,337.510590
915.026428,299.987793,3612.606689,3615.356201,306.846191,306.844696,283.397797,283.391388,5.841900,5.828400,10.469300,10.476200,246.594803,246.022095,246.590607,246.020004,212.817001,212.815796,18.000000,18.000000,244.289307,243.729507,273.888489,273.739014,15.264600,5.400300,139.972702,357.852692,337.511414
915.035828,299.994812,3612.588135,3615.376953,306.846985,306.844788,283.397705,283.391388,5.842100,5.827900,10.469300,10.476000,246.574707,246.032196,246.571198,246.037796,212.816803,212.815598,18.000000,18.000000,244.335999,243.753006,273.891602,273.733490,15.264400,5.400400,139.841095,357.815186,337.510712
915.018616,299.995087,3612.592773,3615.337891,306.845886,306.844696,283.397614,283.391388,5.842200,5.828300,10.469300,10.476100,246.566193,246.035202,246.566193,246.031601,212.816803,212.815598,18.000000,18.000000,244.368805,243.781296,273.892303,273.738098,15.264300,5.400300,139.968399,357.856201,337.510803
915.011719,299.991211,3612.608887,3615.342041,306.846497,306.844788,283.397614,283.391296,5.841400,5.828500,10.469100,10.476200,246.587006,246.018600,246.595703,246.014694,212.816803,212.815598,18.000000,18.000000,244.278595,243.724792,273.883911,273.740112,15.264700,5.400300,139.962708,357.858185,337.511810
915.018921,299.998413,3612.597412,3615.390137,306.847412,306.844910,283.397705,283.391388,5.842000,5.828600,10.469300,10.476200,246.591003,246.011703,246.585602,246.011902,212.816803,212.815598,18.000000,18.000000,244.356598,243.800903,273.890503,273.741394,15.264900,5.400300,139.811096,357.818207,337.510986
915.015808,299.987915,3612.584961,3615.354492,306.846405,306.844788,283.397614,283.391510,5.842100,5.828200,10.469300,10.476100,246.577896,246.012207,246.574707,246.018600,212.816895,212.815704,18.000000,18.000000,244.350601,243.780701,273.892090,273.736206,15.264400,5.400300,139.813904,357.829895,337.510590
915.011780,300.005310,3612.592041,3615.322021,306.845886,306.844696,283.397614,283.391510,5.841900,5.827900,10.469300,10.476000,246.565704,246.044907,246.569901,246.044006,212.816895,212.815704,18.000000,18.000000,244.271896,243.679199,273.888306,273.734497,15.264600,5.400300,139.911194,357.861908,337.510986
915.018311,299.981903,3612.605225,3615.375977,306.846405,306.844788,283.397614,283.391388,5.841700,5.828400,10.469200,10.476100,246.593796,246.022507,246.594406,246.019196,212.817001,212.815796,18.000000,18.000000,244.286407,243.728607,273.887390,273.739288,15.264700,5.400300,139.899704,357.843811,337.511902
915.020081,300.001587,3612.592041,3615.407471,306.847290,306.844788,283.397705,283.391510,5.842100,5.828600,10.469300,10.476100,246.581894,246.016403,246.579605,246.014999,212.816803,212.815598,18.000000,18.000000,244.385696,243.822098,273.890991,273.741211,15.264700,5.400300,139.742401,357.815613,337.511414
915.018799,299.989685,3612.579590,3615.366943,306.846985,306.844696,283.397614,283.391388,5.841600,5.828500,10.469200,10.476100,246.585693,246.009003,246.591705,246.008102,212.816895,212.815796,18.000000,18.000000,244.307205,243.756393,273.885101,273.739685,15.264500,5.400300,139.729507,357.828705,337.510895
915.009521,299.999390,3612.589355,3615.266602,306.846405,306.844604,283.397491,283.391296,5.841900,5.827800,10.469200,10.475900,246.590103,246.032501,246.583603,246.039200,212.816803,212.815598,18.000000,18.000000,244.248306,243.671997,273.889191,273.733185,15.264500,5.400300,139.865402,357.868286,337.511505
915.021973,299.987610,3612.607910,3615.317871,306.845886,306.844513,283.397400,283.391296,5.842100,5.828500,10.469300,10.476100,246.577301,246.027298,246.576401,246.023193,212.816895,212.815704,18.000000,18.000000,244.369400,243.795700,273.891296,273.739685,15.264900,5.400200,139.885406,357.864288,337.512085
915.025024,299.995789,3612.594238,3615.364746,306.846313,306.844604,283.397614,283.391388,5.842200,5.828300,10.469300,10.476000,246.573700,246.017899,246.571701,246.020706,212.816803,212.815598,18.000000,18.000000,244.375793,243.801102,273.892700,273.737213,15.264800,5.400300,139.746704,357.825714,337.512085
915.024170,299.999786,3612.584717,3615.317139,306.846313,306.844604,283.397614,283.391388,5.841900,5.827900,10.469200,10.476000,246.564499,246.042892,246.568207,246.044098,212.816895,212.815704,18.000000,18.000000,244.274796,243.680801,273.888702,273.733612,15.264600,5.400200,139.662292,357.848389,337.511902
915.026123,299.985901,3612.604492,3615.370361,306.845886,306.844788,283.397797,283.391388,5.841700,5.828400,10.469100,10.476100,246.592499,246.025803,246.593704,246.022095,212.816895,212.815704,18.000000,18.000000,244.279694,243.718994,273.887207,273.738800,15.264800,5.400200,139.746704,357.860107,337.512299
